Model_num,Brand,Model,Touchscreen,Display_size
,APPLE,Iphone 15 Plus,Yes,6.6
,SAMSUNG,Galaxy F13,Yes,6.58
,POCO,M5,Yes,6.72
,realme,C55,Yes,6.67
,REDMI,Note 12 Pro 5G,Yes,6.56
,Tecno,Spark Go 2023 6.56 HD+Display 13MP Dual Camera,Yes,6.72
,realme,C55,Yes,2
,SAMSUNG,Guru Music 2,No,6.55
,MOTOROLA,Edge 30 Fusion,Yes,6.58
,POCO,M4 5G,Yes,6.72
,realme,C55,Yes,6.1
,APPLE,iPhone 13,Yes,0.66
,Kechaoda,A27,No,6.6
,SAMSUNG,Galaxy M14 5G,Yes,6.67
,REDMI,Note 12 5G,Yes,6.72
,realme,C55,Yes,6.67
,POCO,X5 Pro 5G,Yes,2.8
,Nokia,"2660 Flip 4G Volte Black keypad Mobile with Dual Sim & Screen, MP3 Player",No,6.74
,OnePlus,Nord 3 5G,Yes,6.56
,Tecno,Spark Go 2023,Yes,6.67
,REDMI,Note 12 Pro+ 5G,Yes,6.67
,REDMI,Note 12 5G,Yes,2.6
,KARBONN,Jumbo K9,,6.1
,APPLE,Iphone 15 Pro,Yes,6.7
,OnePlus,10R,Yes,6.67
,POCO,X5 5G,Yes,6.4
,realme,10,Yes,6.58
,REDMI,11 Prime,Yes,1.8
,itel,It2175 Keypad Mobile|1200 mAh battery|Expandable Storage upto 32GB,No,6.4
,realme,10,Yes,6.7
,Infinix,NOTE 12i,Yes,6.82
,Infinix,HOT 20 Play,Yes,6.82
,Infinix,HOT 20 Play,Yes,2.6
,KARBONN,K9,No,6.82
,Infinix,HOT 20 Play,Yes,1.77
,Micromax,X413,No,6.1
,APPLE,iPhone 14,Yes,2.8
,Micromax,X818,No,6.7
,OPPO,Reno10 Pro 5G,Yes,6.5
,SAMSUNG,Galaxy F34 5G,Yes,0.66
,Kechaoda,A27,No,6.82
,Infinix,HOT 20 Play,Yes,2.4
,KARBONN,K9,,6.7
,Infinix,Note 12,Yes,6.72
,OPPO,A58,Yes,2.8
,Micromax,X818,No,6.67
,REDMI,Note 12 5G,Yes,1.8
,itel,Power 110 Neo| 2500 mAh battery| Expandable Storage Upto 32GB,No,6.52
,POCO,C51,Yes,6.7
,APPLE,iPhone 14 Pro Max,Yes,2.4
,itel,Magic X Pro 4G| 2500mAh Big Battery| Expandable Storage upto 64GB,No,6.72
,OPPO,A58,Yes,6.7
,realme,10 Pro+ 5G,Yes,1.77
,I,K3310,No,6.72
,realme,Narzo N55,Yes,
